date and time,salinity (ppt) - Marina - layer 1
2016-01-01 01:00:00,        24.8903
2016-01-01 01:30:00,        24.8573
2016-01-01 02:00:00,         24.641
2016-01-01 02:30:00,         24.401
2016-01-01 03:00:00,        24.2944
2016-01-01 03:30:00,        24.2796
2016-01-01 04:00:00,        24.2516
2016-01-01 04:30:00,        24.1909
2016-01-01 05:00:00,        24.0987
2016-01-01 05:30:00,        23.9166
2016-01-01 06:00:00,        23.6936
2016-01-01 06:30:00,        23.5324
2016-01-01 07:00:00,        23.5033
2016-01-01 07:30:00,        23.4378
2016-01-01 08:00:00,        23.1756
2016-01-01 08:30:00,         22.926
2016-01-01 09:00:00,        22.7148
2016-01-01 09:30:00,        22.5441
2016-01-01 10:00:00,        22.3365
2016-01-01 10:30:00,         22.244
2016-01-01 11:00:00,        22.0415
2016-01-01 11:30:00,        21.9043
2016-01-01 12:00:00,        21.8165
2016-01-01 12:30:00,        21.7466
2016-01-01 13:00:00,        21.6462
2016-01-01 13:30:00,         21.418
2016-01-01 14:00:00,        21.0771
2016-01-01 14:30:00,        20.6767
2016-01-01 15:00:00,        20.3171
2016-01-01 15:30:00,        20.0249
2016-01-01 16:00:00,        19.7933
2016-01-01 16:30:00,        19.6583
2016-01-01 17:00:00,        19.6339
2016-01-01 17:30:00,         19.655
2016-01-01 18:00:00,        19.6807
2016-01-01 18:30:00,        19.7159
2016-01-01 19:00:00,        19.7319
2016-01-01 19:30:00,        19.7381
2016-01-01 20:00:00,        19.7451
2016-01-01 20:30:00,        19.7569
2016-01-01 21:00:00,        19.7775
2016-01-01 21:30:00,        19.8276
2016-01-01 22:00:00,        19.9537
2016-01-01 22:30:00,        20.2324
2016-01-01 23:00:00,        20.5878
2016-01-01 23:30:00,        21.0001
2016-01-02 00:00:00,        21.6983
2016-01-02 00:30:00,        22.6613
2016-01-02 01:00:00,        23.6762
2016-01-02 01:30:00,        24.7506
2016-01-02 02:00:00,        25.9538
2016-01-02 02:30:00,        27.1518
2016-01-02 03:00:00,         28.076
2016-01-02 03:30:00,        28.5791
2016-01-02 04:00:00,        28.7468
2016-01-02 04:30:00,        28.7041
2016-01-02 05:00:00,        28.5134
2016-01-02 05:30:00,        28.2217
2016-01-02 06:00:00,        27.8535
2016-01-02 06:30:00,        27.3369
2016-01-02 07:00:00,        26.6706
2016-01-02 07:30:00,        26.0571
2016-01-02 08:00:00,        25.3993
2016-01-02 08:30:00,        24.9322
2016-01-02 09:00:00,        24.7502
2016-01-02 09:30:00,         24.583
2016-01-02 10:00:00,         24.316
2016-01-02 10:30:00,        23.9687
2016-01-02 11:00:00,        23.6807
2016-01-02 11:30:00,        23.4308
2016-01-02 12:00:00,         23.198
2016-01-02 12:30:00,         22.985
2016-01-02 13:00:00,        22.7897
2016-01-02 13:30:00,        22.5675
2016-01-02 14:00:00,        22.2798
2016-01-02 14:30:00,        21.9102
2016-01-02 15:00:00,        21.4713
2016-01-02 15:30:00,        21.0248
2016-01-02 16:00:00,        20.6606
2016-01-02 16:30:00,        20.4501
2016-01-02 17:00:00,        20.3806
2016-01-02 17:30:00,        20.4316
2016-01-02 18:00:00,        20.5647
2016-01-02 18:30:00,        20.7472
2016-01-02 19:00:00,        20.9443
2016-01-02 19:30:00,        21.1393
2016-01-02 20:00:00,        21.3345
2016-01-02 20:30:00,        21.5482
2016-01-02 21:00:00,        21.8227
2016-01-02 21:30:00,        22.2281
2016-01-02 22:00:00,        22.8404
2016-01-02 22:30:00,        23.6668
2016-01-02 23:00:00,        24.5993
2016-01-02 23:30:00,        25.4957
2016-01-03 00:00:00,        26.3461
2016-01-03 00:30:00,        27.1705
2016-01-03 01:00:00,        27.9564
2016-01-03 01:30:00,        28.4668
2016-01-03 02:00:00,        28.9832
2016-01-03 02:30:00,        29.4253
2016-01-03 03:00:00,        29.6559
2016-01-03 03:30:00,        29.5493
2016-01-03 04:00:00,        29.3733
2016-01-03 04:30:00,        29.1567
2016-01-03 05:00:00,        28.8733
2016-01-03 05:30:00,        28.5662
2016-01-03 06:00:00,        28.3289
2016-01-03 06:30:00,        28.1979
2016-01-03 07:00:00,        28.2842
2016-01-03 07:30:00,         27.698
2016-01-03 08:00:00,        27.0159
2016-01-03 08:30:00,        26.5455
2016-01-03 09:00:00,        26.3633
2016-01-03 09:30:00,        25.8517
2016-01-03 10:00:00,        25.3172
2016-01-03 10:30:00,        24.8269
2016-01-03 11:00:00,        24.3931
2016-01-03 11:30:00,         24.001
2016-01-03 12:00:00,        23.5938
2016-01-03 12:30:00,        22.5503
2016-01-03 13:00:00,         21.019
2016-01-03 13:30:00,        19.5747
2016-01-03 14:00:00,        18.2077
2016-01-03 14:30:00,        17.1283
2016-01-03 15:00:00,        16.4677
2016-01-03 15:30:00,        16.4072
2016-01-03 16:00:00,         16.799
2016-01-03 16:30:00,        17.4493
2016-01-03 17:00:00,        18.1358
2016-01-03 17:30:00,        18.9534
2016-01-03 18:00:00,        20.0759
2016-01-03 18:30:00,        21.4438
2016-01-03 19:00:00,        22.9172
2016-01-03 19:30:00,        23.9903
2016-01-03 20:00:00,        24.7229
2016-01-03 20:30:00,        25.3456
2016-01-03 21:00:00,        25.9003
2016-01-03 21:30:00,        26.3967
2016-01-03 22:00:00,        26.8509
2016-01-03 22:30:00,        27.2781
2016-01-03 23:00:00,        27.6856
2016-01-03 23:30:00,        28.0722
2016-01-04 00:00:00,         28.436
2016-01-04 00:30:00,        28.7776
2016-01-04 01:00:00,        29.0957
2016-01-04 01:30:00,        29.3878
2016-01-04 02:00:00,        29.6494
2016-01-04 02:30:00,        29.8677
2016-01-04 03:00:00,        30.0305
2016-01-04 03:30:00,         30.134
2016-01-04 04:00:00,        30.1723
2016-01-04 04:30:00,        30.1116
2016-01-04 05:00:00,        29.9337
2016-01-04 05:30:00,        29.7252
2016-01-04 06:00:00,        29.4603
2016-01-04 06:30:00,        29.2213
2016-01-04 07:00:00,         28.769
2016-01-04 07:30:00,        28.2868
2016-01-04 08:00:00,        27.7922
2016-01-04 08:30:00,        27.3079
2016-01-04 09:00:00,        26.8224
2016-01-04 09:30:00,        26.2908
2016-01-04 10:00:00,        25.7536
2016-01-04 10:30:00,        25.2659
2016-01-04 11:00:00,        24.8455
2016-01-04 11:30:00,         24.497
2016-01-04 12:00:00,        24.2228
2016-01-04 12:30:00,        24.0036
2016-01-04 13:00:00,        23.8201
2016-01-04 13:30:00,        23.6698
2016-01-04 14:00:00,        23.5582
2016-01-04 14:30:00,         23.473
2016-01-04 15:00:00,          23.39
2016-01-04 15:30:00,         23.279
2016-01-04 16:00:00,        23.1394
2016-01-04 16:30:00,        23.0087
2016-01-04 17:00:00,        22.9245
2016-01-04 17:30:00,        22.9322
2016-01-04 18:00:00,        23.0738
2016-01-04 18:30:00,        23.1226
2016-01-04 19:00:00,        23.2638
2016-01-04 19:30:00,         23.551
2016-01-04 20:00:00,        23.9243
2016-01-04 20:30:00,        24.3303
2016-01-04 21:00:00,        24.7557
2016-01-04 21:30:00,        25.1837
2016-01-04 22:00:00,        25.5913
2016-01-04 22:30:00,        25.9833
2016-01-04 23:00:00,        26.3555
2016-01-04 23:30:00,        26.6864
2016-01-05 00:00:00,        26.9764
2016-01-05 00:30:00,        27.2411
2016-01-05 01:00:00,        27.4844
2016-01-05 01:30:00,        27.7032
2016-01-05 02:00:00,        27.9008
2016-01-05 02:30:00,        28.0771
2016-01-05 03:00:00,        28.2295
2016-01-05 03:30:00,        28.3532
2016-01-05 04:00:00,        28.4375
2016-01-05 04:30:00,        28.4639
2016-01-05 05:00:00,        28.3884
2016-01-05 05:30:00,          28.11
2016-01-05 06:00:00,        27.6327
2016-01-05 06:30:00,        27.0647
2016-01-05 07:00:00,         26.524
2016-01-05 07:30:00,        26.0401
2016-01-05 08:00:00,        25.6731
2016-01-05 08:30:00,        25.4107
2016-01-05 09:00:00,        24.9409
2016-01-05 09:30:00,        24.4754
2016-01-05 10:00:00,        24.0707
2016-01-05 10:30:00,        23.7589
2016-01-05 11:00:00,        23.5531
2016-01-05 11:30:00,        23.4579
2016-01-05 12:00:00,        23.4658
2016-01-05 12:30:00,        23.5591
2016-01-05 13:00:00,        23.7133
2016-01-05 13:30:00,        23.9028
2016-01-05 14:00:00,        24.1046
2016-01-05 14:30:00,        24.2964
2016-01-05 15:00:00,         24.455
2016-01-05 15:30:00,        24.5535
2016-01-05 16:00:00,        24.4696
2016-01-05 16:30:00,        24.0231
2016-01-05 17:00:00,        23.4084
2016-01-05 17:30:00,        22.8799
2016-01-05 18:00:00,        22.4936
2016-01-05 18:30:00,        22.1225
2016-01-05 19:00:00,        22.2879
2016-01-05 19:30:00,        22.6247
2016-01-05 20:00:00,        22.6224
2016-01-05 20:30:00,        22.7009
2016-01-05 21:00:00,        22.8212
2016-01-05 21:30:00,        22.9653
2016-01-05 22:00:00,         23.134
2016-01-05 22:30:00,        23.3333
2016-01-05 23:00:00,        23.5664
2016-01-05 23:30:00,        23.8331
2016-01-06 00:00:00,        24.1327
2016-01-06 00:30:00,        24.4576
2016-01-06 01:00:00,        24.7906
2016-01-06 01:30:00,        25.1183
2016-01-06 02:00:00,        25.4352
2016-01-06 02:30:00,        25.7295
2016-01-06 03:00:00,        25.9719
2016-01-06 03:30:00,         26.101
2016-01-06 04:00:00,        26.1181
2016-01-06 04:30:00,        26.0711
2016-01-06 05:00:00,        25.9587
2016-01-06 05:30:00,        25.7637
2016-01-06 06:00:00,        25.4726
2016-01-06 06:30:00,        25.1019
2016-01-06 07:00:00,        24.7853
2016-01-06 07:30:00,        24.4059
2016-01-06 08:00:00,        24.1139
2016-01-06 08:30:00,        23.8392
2016-01-06 09:00:00,        23.5633
2016-01-06 09:30:00,        23.3592
2016-01-06 10:00:00,        23.2499
2016-01-06 10:30:00,         23.246
2016-01-06 11:00:00,        23.3397
2016-01-06 11:30:00,        23.5083
2016-01-06 12:00:00,        23.7252
2016-01-06 12:30:00,        23.9681
2016-01-06 13:00:00,        24.2212
2016-01-06 13:30:00,        24.4738
2016-01-06 14:00:00,        24.7164
2016-01-06 14:30:00,        24.9371
2016-01-06 15:00:00,          25.12
2016-01-06 15:30:00,        25.2368
2016-01-06 16:00:00,        25.0855
2016-01-06 16:30:00,        24.4534
2016-01-06 17:00:00,        23.6479
2016-01-06 17:30:00,        23.0954
2016-01-06 18:00:00,        22.7186
2016-01-06 18:30:00,        22.4418
2016-01-06 19:00:00,        23.2951
2016-01-06 19:30:00,        23.1967
2016-01-06 20:00:00,        23.1571
2016-01-06 20:30:00,        23.0892
2016-01-06 21:00:00,        23.0122
2016-01-06 21:30:00,         22.961
2016-01-06 22:00:00,        22.9648
2016-01-06 22:30:00,        23.0462
2016-01-06 23:00:00,        23.2182
2016-01-06 23:30:00,         23.481
2016-01-07 00:00:00,        23.8231
2016-01-07 00:30:00,        24.2184
2016-01-07 01:00:00,        24.6338
2016-01-07 01:30:00,        25.0402
2016-01-07 02:00:00,        25.4134
2016-01-07 02:30:00,        25.7197
2016-01-07 03:00:00,        25.8992
2016-01-07 03:30:00,        25.9907
2016-01-07 04:00:00,        26.0093
2016-01-07 04:30:00,        25.9438
2016-01-07 05:00:00,        25.7009
2016-01-07 05:30:00,        25.2823
2016-01-07 06:00:00,        24.7928
2016-01-07 06:30:00,        24.3337
2016-01-07 07:00:00,        23.9693
2016-01-07 07:30:00,        23.7108
2016-01-07 08:00:00,        23.5311
2016-01-07 08:30:00,        23.3657
2016-01-07 09:00:00,        23.2827
2016-01-07 09:30:00,         23.295
2016-01-07 10:00:00,         23.407
2016-01-07 10:30:00,         23.607
2016-01-07 11:00:00,         23.867
2016-01-07 11:30:00,        24.1529
2016-01-07 12:00:00,        24.4371
2016-01-07 12:30:00,        24.7035
2016-01-07 13:00:00,        24.9444
2016-01-07 13:30:00,        25.1593
2016-01-07 14:00:00,        25.3525
2016-01-07 14:30:00,        25.5266
2016-01-07 15:00:00,        25.6722
2016-01-07 15:30:00,        25.7413
2016-01-07 16:00:00,        25.2365
2016-01-07 16:30:00,        24.1897
2016-01-07 17:00:00,        22.7171
2016-01-07 17:30:00,        20.9824
2016-01-07 18:00:00,             20
2016-01-07 18:30:00,        19.7514
2016-01-07 19:00:00,        19.4888
2016-01-07 19:30:00,        19.2899
2016-01-07 20:00:00,        20.7351
2016-01-07 20:30:00,        23.0632
2016-01-07 21:00:00,        23.3569
2016-01-07 21:30:00,        23.3985
2016-01-07 22:00:00,        23.3221
2016-01-07 22:30:00,        23.2645
2016-01-07 23:00:00,        23.3383
2016-01-07 23:30:00,        23.6163
2016-01-08 00:00:00,        24.1171
2016-01-08 00:30:00,        24.8082
2016-01-08 01:00:00,        25.6188
2016-01-08 01:30:00,         26.459
2016-01-08 02:00:00,        27.2501
2016-01-08 02:30:00,        27.9457
2016-01-08 03:00:00,        28.5239
2016-01-08 03:30:00,        28.9168
2016-01-08 04:00:00,        28.6119
2016-01-08 04:30:00,         28.145
2016-01-08 05:00:00,        27.8595
2016-01-08 05:30:00,        27.6174
2016-01-08 06:00:00,        27.3847
2016-01-08 06:30:00,          27.14
2016-01-08 07:00:00,        26.8603
2016-01-08 07:30:00,         26.553
2016-01-08 08:00:00,        26.2208
2016-01-08 08:30:00,        25.9083
2016-01-08 09:00:00,        25.7064
2016-01-08 09:30:00,        25.8625
2016-01-08 10:00:00,        26.2136
2016-01-08 10:30:00,        26.2189
2016-01-08 11:00:00,        26.1907
2016-01-08 11:30:00,         26.164
2016-01-08 12:00:00,        25.4967
2016-01-08 12:30:00,        24.8871
2016-01-08 13:00:00,        24.3804
2016-01-08 13:30:00,        23.9842
2016-01-08 14:00:00,        23.6838
2016-01-08 14:30:00,        23.4765
2016-01-08 15:00:00,        23.3793
2016-01-08 15:30:00,        23.3747
2016-01-08 16:00:00,        23.4192
2016-01-08 16:30:00,        23.4788
2016-01-08 17:00:00,        23.4719
2016-01-08 17:30:00,        22.8173
2016-01-08 18:00:00,        21.8441
2016-01-08 18:30:00,        20.9353
2016-01-08 19:00:00,        20.5041
2016-01-08 19:30:00,        20.3495
2016-01-08 20:00:00,        21.2236
2016-01-08 20:30:00,        22.0511
2016-01-08 21:00:00,        22.6092
2016-01-08 21:30:00,        23.2609
2016-01-08 22:00:00,        23.8881
2016-01-08 22:30:00,          24.48
2016-01-08 23:00:00,        25.0747
2016-01-08 23:30:00,        25.6916
2016-01-09 00:00:00,        26.3204
2016-01-09 00:30:00,        26.9365
2016-01-09 01:00:00,        27.5168
2016-01-09 01:30:00,        28.0438
2016-01-09 02:00:00,        28.5021
2016-01-09 02:30:00,        28.8815
2016-01-09 03:00:00,        29.1829
2016-01-09 03:30:00,        29.4153
2016-01-09 04:00:00,        29.5821
2016-01-09 04:30:00,        29.6671
2016-01-09 05:00:00,        29.6455
2016-01-09 05:30:00,        29.5446
2016-01-09 06:00:00,        29.3718
2016-01-09 06:30:00,        29.1292
2016-01-09 07:00:00,        28.8376
2016-01-09 07:30:00,        28.4816
2016-01-09 08:00:00,        28.0836
2016-01-09 08:30:00,        27.6757
2016-01-09 09:00:00,        27.3524
2016-01-09 09:30:00,        26.7222
2016-01-09 10:00:00,        26.0588
2016-01-09 10:30:00,        25.4914
2016-01-09 11:00:00,        25.0152
2016-01-09 11:30:00,        24.7079
2016-01-09 12:00:00,        24.6138
2016-01-09 12:30:00,        24.1108
2016-01-09 13:00:00,        23.6847
2016-01-09 13:30:00,        23.3607
2016-01-09 14:00:00,        23.1253
2016-01-09 14:30:00,        22.9681
2016-01-09 15:00:00,        22.9066
2016-01-09 15:30:00,        22.9382
2016-01-09 16:00:00,        23.0282
2016-01-09 16:30:00,        23.1298
2016-01-09 17:00:00,        23.1471
2016-01-09 17:30:00,        22.5116
2016-01-09 18:00:00,         21.625
2016-01-09 18:30:00,        20.9801
2016-01-09 19:00:00,        20.6707
2016-01-09 19:30:00,        20.2116
2016-01-09 20:00:00,        21.1165
2016-01-09 20:30:00,        21.3502
2016-01-09 21:00:00,        21.8756
2016-01-09 21:30:00,        22.4256
2016-01-09 22:00:00,        22.9321
2016-01-09 22:30:00,        23.4548
2016-01-09 23:00:00,        24.0553
2016-01-09 23:30:00,        24.7331
