date and time,temperature (°C) - Marina - layer 1
2016-01-01 01:00:00,        25.9636
2016-01-01 01:30:00,        25.9191
2016-01-01 02:00:00,        25.9164
2016-01-01 02:30:00,         25.926
2016-01-01 03:00:00,        25.9319
2016-01-01 03:30:00,        25.9175
2016-01-01 04:00:00,        25.8963
2016-01-01 04:30:00,        25.8791
2016-01-01 05:00:00,        25.9396
2016-01-01 05:30:00,        25.8986
2016-01-01 06:00:00,        25.8178
2016-01-01 06:30:00,         25.728
2016-01-01 07:00:00,        25.6817
2016-01-01 07:30:00,        25.7421
2016-01-01 08:00:00,        25.6906
2016-01-01 08:30:00,        25.6342
2016-01-01 09:00:00,        25.5946
2016-01-01 09:30:00,        25.5611
2016-01-01 10:00:00,        25.5125
2016-01-01 10:30:00,        25.5513
2016-01-01 11:00:00,        25.5016
2016-01-01 11:30:00,        25.4575
2016-01-01 12:00:00,        25.4236
2016-01-01 12:30:00,        25.3988
2016-01-01 13:00:00,        25.3717
2016-01-01 13:30:00,        25.3031
2016-01-01 14:00:00,        25.2662
2016-01-01 14:30:00,         25.259
2016-01-01 15:00:00,        25.2873
2016-01-01 15:30:00,        25.3467
2016-01-01 16:00:00,        25.4217
2016-01-01 16:30:00,        25.4575
2016-01-01 17:00:00,        25.4501
2016-01-01 17:30:00,        25.4284
2016-01-01 18:00:00,        25.4119
2016-01-01 18:30:00,        25.4344
2016-01-01 19:00:00,        25.5111
2016-01-01 19:30:00,        25.5967
2016-01-01 20:00:00,        25.6307
2016-01-01 20:30:00,        25.6508
2016-01-01 21:00:00,        25.6856
2016-01-01 21:30:00,          25.72
2016-01-01 22:00:00,         25.755
2016-01-01 22:30:00,        25.7816
2016-01-01 23:00:00,        25.7913
2016-01-01 23:30:00,        25.7668
2016-01-02 00:00:00,        25.7513
2016-01-02 00:30:00,        25.7944
2016-01-02 01:00:00,        25.8268
2016-01-02 01:30:00,        25.8241
2016-01-02 02:00:00,        25.8421
2016-01-02 02:30:00,        25.8374
2016-01-02 03:00:00,        25.8344
2016-01-02 03:30:00,        25.8131
2016-01-02 04:00:00,        25.7864
2016-01-02 04:30:00,        25.7657
2016-01-02 05:00:00,        25.7469
2016-01-02 05:30:00,        25.7162
2016-01-02 06:00:00,         25.677
2016-01-02 06:30:00,        25.6261
2016-01-02 07:00:00,        25.5281
2016-01-02 07:30:00,        25.5164
2016-01-02 08:00:00,        25.4403
2016-01-02 08:30:00,        25.3745
2016-01-02 09:00:00,        25.3757
2016-01-02 09:30:00,        25.3856
2016-01-02 10:00:00,        25.3679
2016-01-02 10:30:00,        25.2991
2016-01-02 11:00:00,        25.2424
2016-01-02 11:30:00,        25.2002
2016-01-02 12:00:00,        25.1665
2016-01-02 12:30:00,        25.1341
2016-01-02 13:00:00,        25.1046
2016-01-02 13:30:00,        25.1433
2016-01-02 14:00:00,          25.12
2016-01-02 14:30:00,        25.1123
2016-01-02 15:00:00,        25.1249
2016-01-02 15:30:00,        25.1537
2016-01-02 16:00:00,        25.2098
2016-01-02 16:30:00,        25.2843
2016-01-02 17:00:00,        25.3725
2016-01-02 17:30:00,        25.4697
2016-01-02 18:00:00,        25.5738
2016-01-02 18:30:00,        25.6749
2016-01-02 19:00:00,        25.7692
2016-01-02 19:30:00,        25.8528
2016-01-02 20:00:00,        25.9213
2016-01-02 20:30:00,        25.9777
2016-01-02 21:00:00,        26.0282
2016-01-02 21:30:00,        26.0775
2016-01-02 22:00:00,        26.1276
2016-01-02 22:30:00,        26.1805
2016-01-02 23:00:00,        26.2108
2016-01-02 23:30:00,        26.2274
2016-01-03 00:00:00,        26.2342
2016-01-03 00:30:00,        26.1626
2016-01-03 01:00:00,        26.1205
2016-01-03 01:30:00,        26.0617
2016-01-03 02:00:00,        25.9866
2016-01-03 02:30:00,        25.9486
2016-01-03 03:00:00,        25.9467
2016-01-03 03:30:00,        25.8686
2016-01-03 04:00:00,        25.8099
2016-01-03 04:30:00,        25.8123
