date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,       0.898325
2016-01-03 00:00:00,       0.832845
2016-01-03 12:00:00,        1.85237
2016-01-04 00:00:00,        1.66296
2016-01-04 12:00:00,        2.99199
2016-01-05 00:00:00,        1.14602
2016-01-05 12:00:00,        2.89173
2016-01-06 00:00:00,        1.50822
2016-01-06 12:00:00,        2.89115
2016-01-07 00:00:00,        1.34548
2016-01-07 12:00:00,        3.15932
2016-01-08 00:00:00,        1.42131
2016-01-08 12:00:00,         2.5399
2016-01-09 00:00:00,        1.58999
2016-01-09 12:00:00,        3.07394
2016-01-10 00:00:00,        1.68035
2016-01-10 12:00:00,        1.13071
2016-01-11 00:00:00,        2.05011
2016-01-11 12:00:00,         3.4046
2016-01-12 00:00:00,        2.71005
2016-01-12 12:00:00,        1.62733
2016-01-13 00:00:00,        2.54125
2016-01-13 12:00:00,        1.94217
2016-01-14 00:00:00,        3.08302
2016-01-14 12:00:00,         3.6472
2016-01-15 00:00:00,        3.92034
2016-01-15 12:00:00,        3.99794
2016-01-16 00:00:00,        4.26815
2016-01-16 12:00:00,         5.9176
2016-01-17 00:00:00,         5.0208
2016-01-17 12:00:00,        6.20927
2016-01-18 00:00:00,        5.66713
2016-01-18 12:00:00,        9.24015
2016-01-19 00:00:00,         2.3991
2016-01-19 12:00:00,         7.0896
2016-01-20 00:00:00,        2.00257
2016-01-20 12:00:00,        6.32997
2016-01-21 00:00:00,        1.77413
2016-01-21 12:00:00,        4.33467
2016-01-22 00:00:00,        1.71975
2016-01-22 12:00:00,        1.87478
2016-01-23 00:00:00,        1.36966
2016-01-23 12:00:00,        4.79642
2016-01-24 00:00:00,        4.38567
2016-01-24 12:00:00,        7.60713
2016-01-25 00:00:00,        5.44062
2016-01-25 12:00:00,        4.85963
2016-01-26 00:00:00,        4.71582
2016-01-26 12:00:00,        2.51671
2016-01-27 00:00:00,        2.77304
2016-01-27 12:00:00,        2.41004
2016-01-28 00:00:00,        2.99679
2016-01-28 12:00:00,        2.59807
2016-01-29 00:00:00,        3.95056
2016-01-29 12:00:00,        7.96317
2016-01-30 00:00:00,        7.18038
2016-01-30 12:00:00,        9.45437
2016-01-31 00:00:00,         4.4154
2016-01-31 12:00:00,        9.93504
2016-02-01 00:00:00,         2.4983
2016-02-01 12:00:00,        7.90499
2016-02-02 00:00:00,        2.16403
2016-02-02 12:00:00,        7.49681
2016-02-03 00:00:00,        2.07838
2016-02-03 12:00:00,        5.88265
2016-02-04 00:00:00,         1.2528
2016-02-04 12:00:00,        3.76097
2016-02-05 00:00:00,       0.706204
2016-02-05 12:00:00,        1.94987
2016-02-06 00:00:00,        1.77623
2016-02-06 12:00:00,        3.23155
2016-02-07 00:00:00,        1.10234
2016-02-07 12:00:00,        1.75646
2016-02-08 00:00:00,        2.42484
2016-02-08 12:00:00,        4.39921
2016-02-09 00:00:00,        2.86668
2016-02-09 12:00:00,        2.45252
2016-02-10 00:00:00,        3.05405
2016-02-10 12:00:00,        2.85224
2016-02-11 00:00:00,        3.89633
2016-02-11 12:00:00,        3.27015
2016-02-12 00:00:00,        3.55257
2016-02-12 12:00:00,        3.96365
2016-02-13 00:00:00,        2.83737
2016-02-13 12:00:00,        4.75399
