date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,       0.537976
2016-01-03 00:00:00,       0.981157
2016-01-03 12:00:00,        1.30851
2016-01-04 00:00:00,        4.20274
2016-01-04 12:00:00,            
2016-01-05 00:00:00,        2.58456
2016-01-05 12:00:00,        44.7072
2016-01-06 00:00:00,            
2016-01-06 12:00:00,        3.28037
2016-01-07 00:00:00,        4.18133
2016-01-07 12:00:00,        6.02562
2016-01-08 00:00:00,        5.31228
2016-01-08 12:00:00,        4.46596
2016-01-09 00:00:00,        6.05652
2016-01-09 12:00:00,        6.47407
2016-01-10 00:00:00,         13.627
2016-01-10 12:00:00,        15.3646
2016-01-11 00:00:00,        16.7216
2016-01-11 12:00:00,        17.0611
2016-01-12 00:00:00,        18.5008
2016-01-12 12:00:00,        19.0986
2016-01-13 00:00:00,        20.7059
2016-01-13 12:00:00,        20.4848
2016-01-14 00:00:00,        21.1793
2016-01-14 12:00:00,        21.3407
2016-01-15 00:00:00,        21.9828
2016-01-15 12:00:00,         22.703
2016-01-16 00:00:00,        22.6426
2016-01-16 12:00:00,        23.8141
2016-01-17 00:00:00,        23.9984
2016-01-17 12:00:00,        24.0505
2016-01-18 00:00:00,        24.6614
2016-01-18 12:00:00,        25.6395
2016-01-19 00:00:00,         26.155
2016-01-19 12:00:00,         27.158
2016-01-20 00:00:00,        28.0203
2016-01-20 12:00:00,        28.9283
2016-01-21 00:00:00,        29.8709
2016-01-21 12:00:00,        30.8687
2016-01-22 00:00:00,        31.9393
2016-01-22 12:00:00,        33.1596
2016-01-23 00:00:00,        34.2315
2016-01-23 12:00:00,        33.6047
2016-01-24 00:00:00,        32.3348
2016-01-24 12:00:00,        35.6482
2016-01-25 00:00:00,        35.4582
2016-01-25 12:00:00,        36.5226
2016-01-26 00:00:00,        38.4729
2016-01-26 12:00:00,        40.1749
2016-01-27 00:00:00,        41.6234
2016-01-27 12:00:00,        42.7337
2016-01-28 00:00:00,         43.129
2016-01-28 12:00:00,        43.5344
2016-01-29 00:00:00,        41.3721
2016-01-29 12:00:00,        41.6934
2016-01-30 00:00:00,        41.8709
2016-01-30 12:00:00,        42.8639
2016-01-31 00:00:00,        44.3577
2016-01-31 12:00:00,        45.6264
2016-02-01 00:00:00,        47.5125
2016-02-01 12:00:00,        48.8752
2016-02-02 00:00:00,        50.5551
2016-02-02 12:00:00,        51.8419
2016-02-03 00:00:00,        52.9454
2016-02-03 12:00:00,        53.9843
2016-02-04 00:00:00,        54.3181
2016-02-04 12:00:00,        54.9235
2016-02-05 00:00:00,         54.647
2016-02-05 12:00:00,        53.7459
2016-02-06 00:00:00,        54.0683
2016-02-06 12:00:00,         55.149
2016-02-07 00:00:00,        55.1487
2016-02-07 12:00:00,         56.162
2016-02-08 00:00:00,        57.1585
2016-02-08 12:00:00,        58.1985
2016-02-09 00:00:00,        59.2628
2016-02-09 12:00:00,        60.4222
2016-02-10 00:00:00,        61.2548
2016-02-10 12:00:00,        62.3357
2016-02-11 00:00:00,        63.0718
2016-02-11 12:00:00,        64.0411
2016-02-12 00:00:00,        64.8511
2016-02-12 12:00:00,        65.7184
2016-02-13 00:00:00,        66.3837
2016-02-13 12:00:00,        67.2592
2016-02-14 00:00:00,        68.0445
2016-02-14 12:00:00,        68.9887
2016-02-15 00:00:00,        69.7187
2016-02-15 12:00:00,        70.1049
2016-02-16 00:00:00,        70.4725
2016-02-16 12:00:00,         70.812
2016-02-17 00:00:00,        69.6342
2016-02-17 12:00:00,        71.1434
