date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,            
2016-01-03 00:00:00,        0.26744
2016-01-03 12:00:00,        0.52677
2016-01-04 00:00:00,        1.33781
2016-01-04 12:00:00,        3.32128
2016-01-05 00:00:00,        4.30917
2016-01-05 12:00:00,        5.30899
2016-01-06 00:00:00,         6.3084
2016-01-06 12:00:00,        7.30548
2016-01-07 00:00:00,        8.30433
2016-01-07 12:00:00,        9.30427
2016-01-08 00:00:00,        10.3015
2016-01-08 12:00:00,         11.289
2016-01-09 00:00:00,        12.2544
2016-01-09 12:00:00,        13.2986
2016-01-10 00:00:00,        14.3052
2016-01-10 12:00:00,        15.3332
2016-01-11 00:00:00,        16.3188
2016-01-11 12:00:00,        17.3451
2016-01-12 00:00:00,         18.366
2016-01-12 12:00:00,        19.3818
2016-01-13 00:00:00,        20.3838
2016-01-13 12:00:00,        21.2225
2016-01-14 00:00:00,        22.1506
2016-01-14 12:00:00,        22.9193
2016-01-15 00:00:00,        23.5461
2016-01-15 12:00:00,        24.1421
2016-01-16 00:00:00,        24.4389
2016-01-16 12:00:00,        25.4006
2016-01-17 00:00:00,        25.7777
2016-01-17 12:00:00,        27.4579
2016-01-18 00:00:00,        28.7011
2016-01-18 12:00:00,        29.8554
2016-01-19 00:00:00,        29.4983
2016-01-19 12:00:00,        30.1927
2016-01-20 00:00:00,        28.4787
2016-01-20 12:00:00,        26.2601
2016-01-21 00:00:00,        26.5925
2016-01-21 12:00:00,        27.0794
2016-01-22 00:00:00,         28.021
2016-01-22 12:00:00,        28.4793
2016-01-23 00:00:00,        29.6391
2016-01-23 12:00:00,        29.7179
2016-01-24 00:00:00,        30.0186
2016-01-24 12:00:00,        27.9201
2016-01-25 00:00:00,        28.4915
2016-01-25 12:00:00,        33.7958
2016-01-26 00:00:00,        34.8967
2016-01-26 12:00:00,        35.3544
2016-01-27 00:00:00,         36.332
2016-01-27 12:00:00,        37.0472
2016-01-28 00:00:00,        37.4989
2016-01-28 12:00:00,        37.9982
2016-01-29 00:00:00,        39.2306
2016-01-29 12:00:00,        40.4946
2016-01-30 00:00:00,         41.079
2016-01-30 12:00:00,        42.0466
2016-01-31 00:00:00,        42.6374
2016-01-31 12:00:00,        43.9737
2016-02-01 00:00:00,        44.2448
2016-02-01 12:00:00,         45.239
2016-02-02 00:00:00,        45.6774
2016-02-02 12:00:00,        46.8428
2016-02-03 00:00:00,        47.5543
2016-02-03 12:00:00,        48.6019
2016-02-04 00:00:00,        49.2128
2016-02-04 12:00:00,        50.1008
2016-02-05 00:00:00,        51.2842
2016-02-05 12:00:00,        52.9524
2016-02-06 00:00:00,        53.7708
2016-02-06 12:00:00,        54.3714
2016-02-07 00:00:00,        55.0882
2016-02-07 12:00:00,        56.2218
2016-02-08 00:00:00,        57.2701
2016-02-08 12:00:00,        58.3256
2016-02-09 00:00:00,        58.9577
2016-02-09 12:00:00,        56.4627
2016-02-10 00:00:00,        59.0907
2016-02-10 12:00:00,        58.7212
2016-02-11 00:00:00,        61.3838
2016-02-11 12:00:00,        61.3484
2016-02-12 00:00:00,        62.1653
2016-02-12 12:00:00,        62.1682
2016-02-13 00:00:00,        62.6214
2016-02-13 12:00:00,        63.4721
2016-02-14 00:00:00,        63.5862
2016-02-14 12:00:00,        64.4101
2016-02-15 00:00:00,        62.6117
2016-02-15 12:00:00,        63.8721
2016-02-16 00:00:00,        63.6807
2016-02-16 12:00:00,        64.4832
2016-02-17 00:00:00,        64.1933
2016-02-17 12:00:00,        64.8922
2016-02-18 00:00:00,        65.0578
2016-02-18 12:00:00,        64.6841
2016-02-19 00:00:00,        64.9535
2016-02-19 12:00:00,        65.0143
2016-02-20 00:00:00,        65.7016
2016-02-20 12:00:00,        67.3925
2016-02-21 00:00:00,        67.7135
2016-02-21 12:00:00,        68.6669
2016-02-22 00:00:00,        68.2623
2016-02-22 12:00:00,        68.8322
2016-02-23 00:00:00,        68.5682
2016-02-23 12:00:00,        69.8544
2016-02-24 00:00:00,        69.6706
2016-02-24 12:00:00,        70.8182
2016-02-25 00:00:00,        71.5207
2016-02-25 12:00:00,        70.6838
2016-02-26 00:00:00,        69.8379
2016-02-26 12:00:00,        67.3983
2016-02-27 00:00:00,        68.9362
2016-02-27 12:00:00,         68.659
2016-02-28 00:00:00,        69.8296
2016-02-28 12:00:00,        69.6306
2016-02-29 00:00:00,        72.1575
2016-02-29 12:00:00,        72.9062
2016-03-01 00:00:00,        74.4644
2016-03-01 12:00:00,        73.6037
2016-03-02 00:00:00,        74.8971
2016-03-02 12:00:00,        74.3699
2016-03-03 00:00:00,        76.1367
2016-03-03 12:00:00,        76.1878
2016-03-04 00:00:00,        78.2201
2016-03-04 12:00:00,        78.2406
