date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,       0.262539
2016-01-03 00:00:00,        1.21973
2016-01-03 12:00:00,        1.04042
2016-01-04 00:00:00,        1.97935
2016-01-04 12:00:00,        2.41977
2016-01-05 00:00:00,        5.16113
2016-01-05 12:00:00,        6.02547
2016-01-06 00:00:00,         6.9334
2016-01-06 12:00:00,        7.86484
2016-01-07 00:00:00,        8.58534
2016-01-07 12:00:00,        9.45906
2016-01-08 00:00:00,        10.1408
2016-01-08 12:00:00,        11.0865
2016-01-09 00:00:00,        11.8427
2016-01-09 12:00:00,        12.7171
2016-01-10 00:00:00,        13.4521
2016-01-10 12:00:00,        13.8155
2016-01-11 00:00:00,         10.818
2016-01-11 12:00:00,        10.9767
2016-01-12 00:00:00,        11.7337
2016-01-12 12:00:00,        11.9762
2016-01-13 00:00:00,        12.9559
2016-01-13 12:00:00,        13.2284
2016-01-14 00:00:00,        14.1845
2016-01-14 12:00:00,        15.5651
2016-01-15 00:00:00,        16.7604
2016-01-15 12:00:00,        17.3166
2016-01-16 00:00:00,         17.927
2016-01-16 12:00:00,        18.9401
2016-01-17 00:00:00,        19.3108
2016-01-17 12:00:00,        20.0228
2016-01-18 00:00:00,        19.7568
2016-01-18 12:00:00,        20.9538
2016-01-19 00:00:00,        20.2733
2016-01-19 12:00:00,        21.3024
2016-01-20 00:00:00,        21.5559
2016-01-20 12:00:00,        23.5965
2016-01-21 00:00:00,        23.9634
2016-01-21 12:00:00,        25.6684
2016-01-22 00:00:00,        26.2544
2016-01-22 12:00:00,        25.7749
2016-01-23 00:00:00,        19.9162
2016-01-23 12:00:00,        18.6439
2016-01-24 00:00:00,        19.2695
2016-01-24 12:00:00,        20.3007
2016-01-25 00:00:00,        21.7232
2016-01-25 12:00:00,        22.4312
2016-01-26 00:00:00,         24.094
2016-01-26 12:00:00,        25.1518
2016-01-27 00:00:00,        27.2771
2016-01-27 12:00:00,        27.9683
2016-01-28 00:00:00,        30.0387
2016-01-28 12:00:00,        28.8651
2016-01-29 00:00:00,        24.2386
2016-01-29 12:00:00,        26.2505
2016-01-30 00:00:00,        27.2532
2016-01-30 12:00:00,        29.0315
2016-01-31 00:00:00,         28.782
2016-01-31 12:00:00,        31.5105
2016-02-01 00:00:00,        31.0758
2016-02-01 12:00:00,        32.0716
2016-02-02 00:00:00,        33.6032
2016-02-02 12:00:00,        34.8656
2016-02-03 00:00:00,        34.4785
2016-02-03 12:00:00,        35.2384
2016-02-04 00:00:00,         35.341
2016-02-04 12:00:00,        36.2688
2016-02-05 00:00:00,        33.3686
2016-02-05 12:00:00,        30.6963
2016-02-06 00:00:00,        27.7828
2016-02-06 12:00:00,        26.7178
2016-02-07 00:00:00,        17.9917
2016-02-07 12:00:00,        11.5642
2016-02-08 00:00:00,         13.787
2016-02-08 12:00:00,        13.2125
2016-02-09 00:00:00,          15.17
2016-02-09 12:00:00,          14.49
2016-02-10 00:00:00,        16.7943
2016-02-10 12:00:00,        17.2843
2016-02-11 00:00:00,        19.0657
2016-02-11 12:00:00,        20.0244
2016-02-12 00:00:00,        21.2258
2016-02-12 12:00:00,        22.2365
2016-02-13 00:00:00,         23.286
2016-02-13 12:00:00,         24.437
2016-02-14 00:00:00,        25.7472
2016-02-14 12:00:00,        26.7536
2016-02-15 00:00:00,        27.7763
2016-02-15 12:00:00,        28.9585
2016-02-16 00:00:00,        30.0542
2016-02-16 12:00:00,        32.5557
2016-02-17 00:00:00,        32.7815
2016-02-17 12:00:00,        34.1056
2016-02-18 00:00:00,        35.1567
2016-02-18 12:00:00,        36.0722
2016-02-19 00:00:00,        37.5756
2016-02-19 12:00:00,        38.4519
2016-02-20 00:00:00,        39.1635
2016-02-20 12:00:00,        40.1709
2016-02-21 00:00:00,        41.0477
2016-02-21 12:00:00,        41.9503
2016-02-22 00:00:00,         43.131
2016-02-22 12:00:00,        44.0723
2016-02-23 00:00:00,          45.29
2016-02-23 12:00:00,         46.266
2016-02-24 00:00:00,        46.9486
2016-02-24 12:00:00,        47.0545
2016-02-25 00:00:00,        48.3748
2016-02-25 12:00:00,        49.1764
2016-02-26 00:00:00,        50.0196
2016-02-26 12:00:00,        50.7843
2016-02-27 00:00:00,        49.6398
2016-02-27 12:00:00,        50.5627
2016-02-28 00:00:00,        45.4259
2016-02-28 12:00:00,        47.8743
2016-02-29 00:00:00,        44.0049
2016-02-29 12:00:00,        49.1347
2016-03-01 00:00:00,        46.0647
2016-03-01 12:00:00,        47.8253
2016-03-02 00:00:00,        45.6519
2016-03-02 12:00:00,        46.7092
2016-03-03 00:00:00,        46.5593
2016-03-03 12:00:00,        47.3574
2016-03-04 00:00:00,         47.096
2016-03-04 12:00:00,        48.2727
2016-03-05 00:00:00,        48.5621
2016-03-05 12:00:00,        48.2921
2016-03-06 00:00:00,        49.7673
2016-03-06 12:00:00,        50.3275
2016-03-07 00:00:00,        50.1534
2016-03-07 12:00:00,         51.265
2016-03-08 00:00:00,        51.8034
2016-03-08 12:00:00,        52.5701
2016-03-09 00:00:00,        52.3277
2016-03-09 12:00:00,        52.3242
2016-03-10 00:00:00,        52.6053
2016-03-10 12:00:00,        53.2327
2016-03-11 00:00:00,        54.9447
2016-03-11 12:00:00,         56.244
2016-03-12 00:00:00,        57.9475
2016-03-12 12:00:00,        58.7766
2016-03-13 00:00:00,        61.0043
2016-03-13 12:00:00,        61.0853
2016-03-14 00:00:00,        62.5763
2016-03-14 12:00:00,        62.4491
2016-03-15 00:00:00,        63.2072
2016-03-15 12:00:00,        63.5229
2016-03-16 00:00:00,        63.9253
2016-03-16 12:00:00,        64.2038
2016-03-17 00:00:00,        64.7219
2016-03-17 12:00:00,        65.1113
2016-03-18 00:00:00,        65.7577
2016-03-18 12:00:00,        66.4345
2016-03-19 00:00:00,        67.8174
2016-03-19 12:00:00,        68.3001
2016-03-20 00:00:00,         69.686
2016-03-20 12:00:00,        70.7188
2016-03-21 00:00:00,        72.1847
2016-03-21 12:00:00,        60.4458
2016-03-22 00:00:00,        46.3817
2016-03-22 12:00:00,        42.5266
2016-03-23 00:00:00,        38.7024
2016-03-23 12:00:00,        44.8042
2016-03-24 00:00:00,        42.0268
2016-03-24 12:00:00,        49.3984
2016-03-25 00:00:00,        46.2618
2016-03-25 12:00:00,        49.2693
2016-03-26 00:00:00,        46.3939
2016-03-26 12:00:00,        54.2847
2016-03-27 00:00:00,        52.0929
2016-03-27 12:00:00,        58.9121
2016-03-28 00:00:00,         55.175
2016-03-28 12:00:00,        59.0895
2016-03-29 00:00:00,        58.4004
2016-03-29 12:00:00,        60.6477
2016-03-30 00:00:00,        61.8333
2016-03-30 12:00:00,        63.8611
2016-03-31 00:00:00,        62.5662
2016-03-31 12:00:00,         62.943
2016-04-01 00:00:00,        62.6159
2016-04-01 12:00:00,        63.1958
2016-04-02 00:00:00,        69.0213
2016-04-02 12:00:00,        67.7573
2016-04-03 00:00:00,        68.0031
2016-04-03 12:00:00,        72.0716
2016-04-04 00:00:00,        74.7068
2016-04-04 12:00:00,        72.3955
2016-04-05 00:00:00,        68.2487
2016-04-05 12:00:00,        65.0612
2016-04-06 00:00:00,        65.1025
2016-04-06 12:00:00,        67.3882
2016-04-07 00:00:00,         69.583
2016-04-07 12:00:00,        69.1863
2016-04-08 00:00:00,        69.6401
2016-04-08 12:00:00,        71.1627
2016-04-09 00:00:00,         72.913
2016-04-09 12:00:00,        74.5822
2016-04-10 00:00:00,        77.2623
2016-04-10 12:00:00,        77.3391
2016-04-11 00:00:00,        78.1163
2016-04-11 12:00:00,        78.4664
2016-04-12 00:00:00,         78.329
2016-04-12 12:00:00,        79.4502
2016-04-13 00:00:00,        78.4769
2016-04-13 12:00:00,        79.5078
2016-04-14 00:00:00,        79.1284
2016-04-14 12:00:00,        80.2237
2016-04-15 00:00:00,        81.7837
2016-04-15 12:00:00,        82.4625
2016-04-16 00:00:00,        83.3523
2016-04-16 12:00:00,        84.0481
2016-04-17 00:00:00,        84.5207
2016-04-17 12:00:00,        85.8791
2016-04-18 00:00:00,        86.7886
2016-04-18 12:00:00,        88.0305
2016-04-19 00:00:00,        89.2129
2016-04-19 12:00:00,        89.8313
2016-04-20 00:00:00,        90.1356
2016-04-20 12:00:00,        90.6857
2016-04-21 00:00:00,         92.013
2016-04-21 12:00:00,        92.6109
2016-04-22 00:00:00,        94.4247
2016-04-22 12:00:00,        94.8473
2016-04-23 00:00:00,        95.8354
2016-04-23 12:00:00,        96.0029
2016-04-24 00:00:00,         94.277
2016-04-24 12:00:00,        95.5334
2016-04-25 00:00:00,        92.5041
2016-04-25 12:00:00,        95.3687
2016-04-26 00:00:00,         90.853
2016-04-26 12:00:00,         95.317
