date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,            
2016-01-03 00:00:00,       0.784979
2016-01-03 12:00:00,        1.27712
2016-01-04 00:00:00,        2.33662
2016-01-04 12:00:00,        3.31913
2016-01-05 00:00:00,        4.96541
2016-01-05 12:00:00,        5.71634
2016-01-06 00:00:00,        6.47952
2016-01-06 12:00:00,        6.84451
2016-01-07 00:00:00,        7.60109
2016-01-07 12:00:00,         7.6878
2016-01-08 00:00:00,         8.4173
2016-01-08 12:00:00,        8.69199
2016-01-09 00:00:00,        9.40192
2016-01-09 12:00:00,        10.0452
2016-01-10 00:00:00,        11.1536
2016-01-10 12:00:00,        11.5094
2016-01-11 00:00:00,        12.1425
2016-01-11 12:00:00,        12.4868
2016-01-12 00:00:00,        12.5647
2016-01-12 12:00:00,        11.8721
2016-01-13 00:00:00,        11.0632
2016-01-13 12:00:00,        10.6649
2016-01-14 00:00:00,        10.9182
2016-01-14 12:00:00,         10.391
2016-01-15 00:00:00,         10.521
2016-01-15 12:00:00,        10.8029
2016-01-16 00:00:00,        11.4448
2016-01-16 12:00:00,        12.4992
2016-01-17 00:00:00,        13.4895
2016-01-17 12:00:00,        16.7675
2016-01-18 00:00:00,        18.3122
2016-01-18 12:00:00,         18.711
2016-01-19 00:00:00,        19.2603
2016-01-19 12:00:00,        19.5798
2016-01-20 00:00:00,        20.3455
2016-01-20 12:00:00,        19.3877
2016-01-21 00:00:00,        19.3515
2016-01-21 12:00:00,        17.1822
2016-01-22 00:00:00,        17.0219
2016-01-22 12:00:00,        18.5914
2016-01-23 00:00:00,        23.5104
2016-01-23 12:00:00,        26.5904
2016-01-24 00:00:00,        28.2004
2016-01-24 12:00:00,        28.5962
2016-01-25 00:00:00,        28.5439
2016-01-25 12:00:00,        26.9695
2016-01-26 00:00:00,        24.8424
2016-01-26 12:00:00,        20.4821
2016-01-27 00:00:00,        18.6693
2016-01-27 12:00:00,        17.5547
2016-01-28 00:00:00,        20.4222
2016-01-28 12:00:00,        26.3028
2016-01-29 00:00:00,        31.2265
2016-01-29 12:00:00,        31.3569
2016-01-30 00:00:00,        30.9549
2016-01-30 12:00:00,        29.9807
2016-01-31 00:00:00,        29.8228
2016-01-31 12:00:00,        25.3069
2016-02-01 00:00:00,        24.2465
2016-02-01 12:00:00,        19.5038
2016-02-02 00:00:00,        18.6487
2016-02-02 12:00:00,        16.5917
2016-02-03 00:00:00,        16.4571
2016-02-03 12:00:00,         14.689
2016-02-04 00:00:00,        16.7801
2016-02-04 12:00:00,        18.1345
2016-02-05 00:00:00,         17.907
2016-02-05 12:00:00,        18.1866
2016-02-06 00:00:00,         20.413
2016-02-06 12:00:00,         21.451
2016-02-07 00:00:00,        19.0673
2016-02-07 12:00:00,        24.3824
2016-02-08 00:00:00,         26.818
2016-02-08 12:00:00,        25.9593
2016-02-09 00:00:00,         22.304
2016-02-09 12:00:00,        22.0053
2016-02-10 00:00:00,        20.9151
2016-02-10 12:00:00,        21.4602
2016-02-11 00:00:00,        22.3472
2016-02-11 12:00:00,        21.2167
2016-02-12 00:00:00,        20.0968
2016-02-12 12:00:00,        18.6046
2016-02-13 00:00:00,        17.5014
2016-02-13 12:00:00,        16.5164
2016-02-14 00:00:00,        16.6103
2016-02-14 12:00:00,        14.3182
2016-02-15 00:00:00,        13.2262
2016-02-15 12:00:00,        10.7287
2016-02-16 00:00:00,        11.4668
2016-02-16 12:00:00,        13.9444
2016-02-17 00:00:00,        12.9983
2016-02-17 12:00:00,        13.1777
2016-02-18 00:00:00,        13.5862
2016-02-18 12:00:00,        14.6157
2016-02-19 00:00:00,        15.2912
2016-02-19 12:00:00,         15.306
2016-02-20 00:00:00,        15.1854
2016-02-20 12:00:00,        13.3333
2016-02-21 00:00:00,        13.3706
2016-02-21 12:00:00,        12.4931
2016-02-22 00:00:00,        12.5691
2016-02-22 12:00:00,        12.1774
2016-02-23 00:00:00,        12.3656
2016-02-23 12:00:00,        12.1934
2016-02-24 00:00:00,        12.6257
2016-02-24 12:00:00,        14.8336
2016-02-25 00:00:00,         16.791
2016-02-25 12:00:00,        17.1694
2016-02-26 00:00:00,        17.4005
2016-02-26 12:00:00,        18.4764
2016-02-27 00:00:00,        19.8396
2016-02-27 12:00:00,        19.8724
2016-02-28 00:00:00,        19.9297
2016-02-28 12:00:00,        17.8079
2016-02-29 00:00:00,        17.1061
2016-02-29 12:00:00,         14.683
2016-03-01 00:00:00,        14.9591
2016-03-01 12:00:00,        14.8275
2016-03-02 00:00:00,        15.5186
2016-03-02 12:00:00,        15.8409
2016-03-03 00:00:00,        16.4589
2016-03-03 12:00:00,        16.7782
2016-03-04 00:00:00,        16.8924
2016-03-04 12:00:00,        16.5727
