date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,        1.07679
2016-01-03 00:00:00,        1.79119
2016-01-03 12:00:00,        2.65531
2016-01-04 00:00:00,        3.02474
2016-01-04 12:00:00,        3.72827
2016-01-05 00:00:00,         4.6001
2016-01-05 12:00:00,        5.60775
2016-01-06 00:00:00,        6.50194
2016-01-06 12:00:00,        7.52255
2016-01-07 00:00:00,        8.19278
2016-01-07 12:00:00,        9.43469
2016-01-08 00:00:00,        8.76681
2016-01-08 12:00:00,        9.65433
2016-01-09 00:00:00,        6.43506
2016-01-09 12:00:00,        8.51046
2016-01-10 00:00:00,        6.97768
2016-01-10 12:00:00,        6.76702
2016-01-11 00:00:00,        7.33877
2016-01-11 12:00:00,        8.51788
2016-01-12 00:00:00,        9.64147
2016-01-12 12:00:00,        10.7435
2016-01-13 00:00:00,         11.866
2016-01-13 12:00:00,        12.9521
2016-01-14 00:00:00,        14.0975
2016-01-14 12:00:00,        15.4237
2016-01-15 00:00:00,        16.6536
2016-01-15 12:00:00,        17.4723
2016-01-16 00:00:00,        16.0454
2016-01-16 12:00:00,        17.4667
2016-01-17 00:00:00,        15.5877
2016-01-17 12:00:00,         14.731
2016-01-18 00:00:00,        15.7414
2016-01-18 12:00:00,        16.4084
2016-01-19 00:00:00,          15.77
2016-01-19 12:00:00,        18.4629
2016-01-20 00:00:00,        16.5523
2016-01-20 12:00:00,        19.9974
2016-01-21 00:00:00,        19.1926
2016-01-21 12:00:00,         22.009
2016-01-22 00:00:00,         20.081
2016-01-22 12:00:00,        17.2454
2016-01-23 00:00:00,        16.5196
2016-01-23 12:00:00,        17.3972
2016-01-24 00:00:00,        17.2395
2016-01-24 12:00:00,        16.9435
2016-01-25 00:00:00,        15.6925
2016-01-25 12:00:00,        17.9061
2016-01-26 00:00:00,        19.7094
2016-01-26 12:00:00,        22.0642
2016-01-27 00:00:00,        23.1942
2016-01-27 12:00:00,        23.2733
2016-01-28 00:00:00,        19.8944
2016-01-28 12:00:00,         18.776
2016-01-29 00:00:00,        17.1488
2016-01-29 12:00:00,         18.601
2016-01-30 00:00:00,        19.4826
2016-01-30 12:00:00,        21.3606
2016-01-31 00:00:00,        22.6947
2016-01-31 12:00:00,         25.255
2016-02-01 00:00:00,        24.2284
2016-02-01 12:00:00,        28.2218
2016-02-02 00:00:00,        26.9558
2016-02-02 12:00:00,        31.0706
2016-02-03 00:00:00,         31.701
