date and time,calculated  AGE  for water from source 1 (d)
2016-01-02 00:00:00,            
2016-01-02 12:00:00,       0.880338
2016-01-03 00:00:00,       0.343387
2016-01-03 12:00:00,        1.43927
2016-01-04 00:00:00,        0.63112
2016-01-04 12:00:00,        1.91224
2016-01-05 00:00:00,         1.1955
2016-01-05 12:00:00,        3.16007
2016-01-06 00:00:00,       0.947131
2016-01-06 12:00:00,        2.99384
2016-01-07 00:00:00,        0.72081
2016-01-07 12:00:00,        2.80287
2016-01-08 00:00:00,       0.551238
2016-01-08 12:00:00,         1.3362
2016-01-09 00:00:00,       0.772502
2016-01-09 12:00:00,        1.91324
2016-01-10 00:00:00,        0.73597
2016-01-10 12:00:00,       0.649111
2016-01-11 00:00:00,        2.09804
2016-01-11 12:00:00,        3.68012
2016-01-12 00:00:00,        2.83992
2016-01-12 12:00:00,        2.58081
2016-01-13 00:00:00,        3.53577
2016-01-13 12:00:00,        2.94243
2016-01-14 00:00:00,        4.47685
2016-01-14 12:00:00,        6.10747
2016-01-15 00:00:00,        6.08359
2016-01-15 12:00:00,        5.99673
2016-01-16 00:00:00,        3.83331
2016-01-16 12:00:00,        6.14614
2016-01-17 00:00:00,        2.94389
2016-01-17 12:00:00,        3.22191
2016-01-18 00:00:00,        3.33168
2016-01-18 12:00:00,        8.08113
2016-01-19 00:00:00,         1.4765
2016-01-19 12:00:00,        7.25907
2016-01-20 00:00:00,        1.04979
2016-01-20 12:00:00,        5.81124
2016-01-21 00:00:00,        1.16132
2016-01-21 12:00:00,        4.90066
2016-01-22 00:00:00,        1.29134
2016-01-22 12:00:00,        1.02661
2016-01-23 00:00:00,       0.863448
2016-01-23 12:00:00,        1.85005
2016-01-24 00:00:00,        3.14987
2016-01-24 12:00:00,        4.45819
2016-01-25 00:00:00,        4.97762
2016-01-25 12:00:00,        8.61234
2016-01-26 00:00:00,        7.36139
2016-01-26 12:00:00,        10.1799
2016-01-27 00:00:00,        5.55105
2016-01-27 12:00:00,        2.97751
2016-01-28 00:00:00,       0.999391
2016-01-28 12:00:00,       0.820519
2016-01-29 00:00:00,        2.38324
2016-01-29 12:00:00,        6.33487
2016-01-30 00:00:00,        8.13125
2016-01-30 12:00:00,        12.2771
2016-01-31 00:00:00,        5.84592
2016-01-31 12:00:00,        15.6287
2016-02-01 00:00:00,        1.65357
2016-02-01 12:00:00,        11.7609
2016-02-02 00:00:00,        1.63745
2016-02-02 12:00:00,        13.1993
2016-02-03 00:00:00,        1.76148
2016-02-03 12:00:00,        11.9636
2016-02-04 00:00:00,       0.786883
2016-02-04 12:00:00,        4.25583
2016-02-05 00:00:00,       0.501955
2016-02-05 12:00:00,        4.86952
2016-02-06 00:00:00,        4.44389
2016-02-06 12:00:00,        10.8345
2016-02-07 00:00:00,        2.21395
2016-02-07 12:00:00,        2.07671
2016-02-08 00:00:00,        4.15815
2016-02-08 12:00:00,        5.07073
2016-02-09 00:00:00,        4.98513
2016-02-09 12:00:00,         1.7316
2016-02-10 00:00:00,        5.76444
2016-02-10 12:00:00,        3.99512
2016-02-11 00:00:00,        8.99708
