Time_model,salinity_ppt_marina_layer1,temperature_C_marina_layer1,Time _2016_data,Date_GMT_00,Conductivity_microsiemens_cm,Temp_C,Year_2016,Date_GMT_00,Conductivity_microsiemens_cm,Temp_C,Year_2017,Date_GMT_00,Conductivity_microsiemens_cm,Temp_C,Year_2018,Conductivity_microsiemens_cm_average,Conductivity_microsiemens_cm_std,Temp_C_average,Temp_C_std
01/01/2016 01:00,21.0514,25.6361,01/01/2016 00:00,,,,,,,,,01/01/2018 00:00,42142.2,26.75,2018,42142.2,nan,26.75,nan
01/01/2016 01:30,21.704,25.8258,01/01/2016 00:30,,,,,,,,,01/01/2018 00:30,42089.4,26.74,2018,42089.4,nan,26.74,nan
01/01/2016 02:00,22.3797,25.9857,01/01/2016 01:00,,,,,01/01/2017 00:00,35293.4,27.63,2017,01/01/2018 01:00,42188.4,26.74,2018,38740.9,4875.501256,27.185,0.629325035
01/01/2016 02:30,23.0353,26.1021,01/01/2016 01:30,,,,,01/01/2017 00:30,35874.6,27.58,2017,01/01/2018 01:30,42221.5,26.76,2018,39048.05,4487.93603,27.17,0.579827561
01/01/2016 03:00,23.626,26.1756,01/01/2016 02:00,,,,,01/01/2017 01:00,36410.2,27.54,2017,01/01/2018 02:00,42360.9,26.81,2018,39385.55,4207.780323,27.175,0.51618795
01/01/2016 03:30,23.8935,26.1948,01/01/2016 02:30,,,,,01/01/2017 01:30,37263.4,27.53,2017,01/01/2018 02:30,42527.9,26.85,2018,39895.65,3722.56365,27.19,0.480832611
01/01/2016 04:00,23.7777,26.1757,01/01/2016 03:00,,,,,01/01/2017 02:00,37522.6,27.5,2017,01/01/2018 03:00,42574.9,26.86,2018,40048.75,3572.515591,27.18,0.45254834
01/01/2016 04:30,23.4313,26.1188,01/01/2016 03:30,,,,,01/01/2017 02:30,37263.4,27.45,2017,01/01/2018 03:30,42716.4,26.88,2018,39989.9,3855.853278,27.165,0.403050865
01/01/2016 05:00,23.1763,26.0681,01/01/2016 04:00,,,,,01/01/2017 03:00,37371.1,27.45,2017,01/01/2018 04:00,42756.9,26.88,2018,40064,3808.335702,27.165,0.403050865
01/01/2016 05:30,22.9096,26.0107,01/01/2016 04:30,,,,,01/01/2017 03:30,37274.2,27.39,2017,01/01/2018 04:30,42790.8,26.85,2018,40032.5,3900.825269,27.12,0.381837662
01/01/2016 06:00,22.5917,25.9442,01/01/2016 05:00,,,,,01/01/2017 04:00,37044.4,27.29,2017,01/01/2018 05:00,42892.6,26.86,2018,39968.5,4135.301878,27.075,0.304055916
01/01/2016 06:30,22.2033,25.8726,01/01/2016 05:30,,,,,01/01/2017 04:30,36959.5,27.24,2017,01/01/2018 05:30,42933.5,26.85,2018,39946.5,4224.255911,27.045,0.275771645
01/01/2016 07:00,21.8145,25.8099,01/01/2016 06:00,,,,,01/01/2017 05:00,36948.9,27.22,2017,01/01/2018 06:00,42872.2,26.83,2018,39910.55,4188.405597,27.025,0.275771645
01/01/2016 07:30,21.3559,25.7075,01/01/2016 06:30,,,,,01/01/2017 05:30,36864.3,27.2,2017,01/01/2018 06:30,42790.8,26.77,2018,39827.55,4190.668339,26.985,0.304055916
01/01/2016 08:00,20.8532,25.5689,01/01/2016 07:00,,,,,01/01/2017 06:00,36806.4,27.24,2017,01/01/2018 07:00,42831.5,26.76,2018,39818.95,4260.389067,27,0.339411255
01/01/2016 08:30,20.3946,25.4368,01/01/2016 07:30,,,,,01/01/2017 06:30,36021.2,27.2,2017,01/01/2018 07:30,42953.9,26.79,2018,39487.55,4902.159182,26.995,0.28991378
01/01/2016 09:00,20.0413,25.3492,01/01/2016 08:00,,,,,01/01/2017 07:00,35749.1,27.13,2017,01/01/2018 08:00,42879,26.76,2018,39314.05,5041.600639,26.945,0.261629509
01/01/2016 09:30,19.8196,25.3112,01/01/2016 08:30,,,,,01/01/2017 07:30,36358.7,27.11,2017,01/01/2018 08:30,42811.1,26.72,2018,39584.9,4562.535795,26.915,0.275771645
01/01/2016 10:00,19.6552,25.2844,01/01/2016 09:00,,,,,01/01/2017 08:00,36451.6,27.03,2017,01/01/2018 09:00,42514.5,26.68,2018,39483.05,4287.117704,26.855,0.247487373
01/01/2016 10:30,19.525,25.2519,01/01/2016 09:30,,,,,01/01/2017 08:30,35859.5,26.99,2017,01/01/2018 09:30,41248.6,26.62,2018,38554.05,3810.669154,26.805,0.261629509
01/01/2016 11:00,19.4302,25.2277,01/01/2016 10:00,,,,,01/01/2017 09:00,35844.4,26.94,2017,01/01/2018 10:00,39850.1,26.58,2018,37847.25,2832.457633,26.76,0.254558441
01/01/2016 11:30,19.3384,25.2053,01/01/2016 10:30,,,,,01/01/2017 09:30,36082.2,26.9,2017,01/01/2018 10:30,38886.8,26.57,2018,37484.5,1983.151679,26.735,0.233345238
01/01/2016 12:00,19.2451,25.1816,01/01/2016 11:00,,,,,01/01/2017 10:00,36405.1,26.9,2017,01/01/2018 11:00,38744.6,26.62,2018,37574.85,1654.276315,26.76,0.197989899
01/01/2016 12:30,19.14,25.1544,01/01/2016 11:30,,,,,01/01/2017 10:30,36591.8,26.87,2017,01/01/2018 11:30,38519.1,26.66,2018,37555.45,1362.806899,26.765,0.148492424
01/01/2016 13:00,18.9931,25.1213,01/01/2016 12:00,,,,,01/01/2017 11:00,36358.7,26.8,2017,01/01/2018 12:00,37364.2,26.8,2018,36861.45,710.9958685,26.8,0
01/01/2016 13:30,18.8089,25.096,01/01/2016 12:30,,,,,01/01/2017 11:30,36056.8,26.75,2017,01/01/2018 12:30,36919.6,26.89,2018,36488.2,610.0917308,26.82,0.098994949
01/01/2016 14:00,18.5866,25.0812,01/01/2016 13:00,,,,,01/01/2017 12:00,35674.1,26.76,2017,01/01/2018 13:00,36770.3,26.97,2018,36222.2,775.1304535,26.865,0.148492424
01/01/2016 14:30,18.3392,25.0894,01/01/2016 13:30,,,,,01/01/2017 12:30,35195.7,26.75,2017,01/01/2018 13:30,36806.2,27.02,2018,36000.95,1138.795471,26.885,0.190918831
01/01/2016 15:00,18.0946,25.1211,01/01/2016 14:00,,,,,01/01/2017 13:00,34818.9,26.74,2017,01/01/2018 14:00,36842.2,27.07,2018,35830.55,1430.68915,26.905,0.233345238
01/01/2016 15:30,17.9147,25.1716,01/01/2016 14:30,,,,,01/01/2017 13:30,34411.6,26.71,2017,01/01/2018 14:30,36955.8,27.08,2018,35683.7,1799.021073,26.895,0.261629509
01/01/2016 16:00,17.8514,25.2359,01/01/2016 15:00,,,,,01/01/2017 14:00,33580.9,26.73,2017,01/01/2018 15:00,36992.1,27.13,2018,35286.5,2412.082652,26.93,0.282842712
01/01/2016 16:30,17.8997,25.2811,01/01/2016 15:30,,,,,01/01/2017 14:30,33150.1,26.75,2017,01/01/2018 15:30,36852.5,27.19,2018,35001.3,2617.992147,26.97,0.311126984
01/01/2016 17:00,17.996,25.2775,01/01/2016 16:00,,,,,01/01/2017 15:00,32635,26.75,2017,01/01/2018 16:00,36739.5,27.21,2018,34687.25,2902.319783,26.98,0.325269119
01/01/2016 17:30,18.0774,25.2644,01/01/2016 16:30,,,,,01/01/2017 15:30,32427.1,26.75,2017,01/01/2018 16:30,36852.5,27.25,2018,34639.8,3129.230349,27,0.353553391
01/01/2016 18:00,18.1389,25.2518,01/01/2016 17:00,,,,,01/01/2017 16:00,32363.9,26.8,2017,01/01/2018 17:00,34913.9,27.12,2018,33638.9,1803.122292,26.96,0.22627417
01/01/2016 18:30,18.1905,25.2761,01/01/2016 17:30,,,,,01/01/2017 16:30,32284.2,26.88,2017,01/01/2018 17:30,34198.5,27.08,2018,33241.35,1353.614511,26.98,0.141421356
01/01/2016 19:00,18.2187,25.3695,01/01/2016 18:00,,,,,01/01/2017 17:00,32359.7,26.94,2017,01/01/2018 18:00,34502.6,27.21,2018,33431.15,1515.259121,27.075,0.190918831
01/01/2016 19:30,18.2386,25.4391,01/01/2016 18:30,,,,,01/01/2017 17:30,32486.3,27.02,2017,01/01/2018 18:30,32140,27.28,2018,32313.15,244.8710783,27.15,0.183847763
01/01/2016 20:00,18.2831,25.4656,01/01/2016 19:00,,,,,01/01/2017 18:00,32200.7,27.21,2017,01/01/2018 19:00,28300.6,27.37,2018,30250.65,2757.787157,27.29,0.113137085
01/01/2016 20:30,18.3627,25.4853,01/01/2016 19:30,,,,,01/01/2017 18:30,32263.3,27.3,2017,01/01/2018 19:30,30792.3,27.32,2018,31527.8,1040.154075,27.31,0.014142136
01/01/2016 21:00,18.4774,25.5313,01/01/2016 20:00,,,,,01/01/2017 19:00,31981.3,27.41,2017,01/01/2018 20:00,33765.5,27.2,2018,32873.4,1261.619919,27.305,0.148492424
01/01/2016 21:30,18.6128,25.591,01/01/2016 20:30,,,,,01/01/2017 19:30,31932,27.56,2017,01/01/2018 20:30,35932.9,27.06,2018,33932.45,2829.063521,27.31,0.353553391
