Time_model,salinity_psu_model,temperature_C_model,Conductivity_microsiemens_cm_av,Conductivity_microsiemens_cm_std,Temp_C_average,Temp_C_std
01/01/2016 01:00,22.9322,25.6666,42142.2,nan,26.75,nan
01/01/2016 01:30,22.4313,25.5545,42089.4,nan,26.74,nan
01/01/2016 02:00,22.0202,25.4522,38740.9,4875.501256,27.185,0.629325035
01/01/2016 02:30,21.7175,25.3614,39048.05,4487.93603,27.17,0.579827561
01/01/2016 03:00,21.7383,25.4162,39385.55,4207.780323,27.175,0.51618795
01/01/2016 03:30,21.7766,25.4295,39895.65,3722.56365,27.19,0.480832611
01/01/2016 04:00,22.1928,25.5774,40048.75,3572.515591,27.18,0.45254834
01/01/2016 04:30,23.0266,25.7369,39989.9,3855.853278,27.165,0.403050865
01/01/2016 05:00,23.7087,25.8072,40064,3808.335702,27.165,0.403050865
01/01/2016 05:30,23.7149,25.7994,40032.5,3900.825269,27.12,0.381837662
01/01/2016 06:00,23.0092,25.6967,39968.5,4135.301878,27.075,0.304055916
01/01/2016 06:30,22.2052,25.5519,39946.5,4224.255911,27.045,0.275771645
01/01/2016 07:00,21.6751,25.4227,39910.55,4188.405597,27.025,0.275771645
01/01/2016 07:30,21.3649,25.3207,39827.55,4190.668339,26.985,0.304055916
01/01/2016 08:00,21.1535,25.2431,39818.95,4260.389067,27,0.339411255
01/01/2016 08:30,21.0299,25.1987,39487.55,4902.159182,26.995,0.28991378
01/01/2016 09:00,21.0164,25.2014,39314.05,5041.600639,26.945,0.261629509
01/01/2016 09:30,21.0671,25.2403,39584.9,4562.535795,26.915,0.275771645
01/01/2016 10:00,21.0572,25.2383,39483.05,4287.117704,26.855,0.247487373
01/01/2016 10:30,20.8492,25.1772,38554.05,3810.669154,26.805,0.261629509
01/01/2016 11:00,20.6493,25.1101,37847.25,2832.457633,26.76,0.254558441
01/01/2016 11:30,20.5249,25.0547,37484.5,1983.151679,26.735,0.233345238
01/01/2016 12:00,20.4269,25.0125,37574.85,1654.276315,26.76,0.197989899
